TournamentID,Name,StartDate,EndDate,IsOver,IsInProgress,Venue,Location,Par,Yards,Purse,StartDateTime,Canceled,Covered,City,State,ZipCode,Country,TimeZone,Format,SportRadarTournamentID,OddsCoverage,Rounds
515,The RSM Classic,2022-11-17T00:00:00,2022-11-20T00:00:00,True,False,Sea Island Golf Club (Seaside Course),"St. Simons Island, GA",70.0,7005.0,8100000.0,2022-11-17T09:00:00,False,True,St. Simons Island,GA,,USA,America/New York,Stroke,0a23f93c-dc78-4059-a453-a2bb9b6faa46,Full,"[{'TournamentID': 515, 'RoundID': 19615, 'Number': 1, 'Day': '2022-11-17T00:00:00'}, {'TournamentID': 515, 'RoundID': 19616, 'Number': 2, 'Day': '2022-11-18T00:00:00'}, {'TournamentID': 515, 'RoundID': 19617, 'Number': 3, 'Day': '2022-11-19T00:00:00'}, {'TournamentID': 515, 'RoundID': 19618, 'Number': 4, 'Day': '2022-11-20T00:00:00'}]"
516,Cadence Bank Houston Open,2022-11-10T00:00:00,2022-11-13T00:00:00,True,False,Memorial Park Golf Course,"Houston, TX",70.0,7412.0,8400000.0,2022-11-10T07:40:00,False,True,Houston,TX,,USA,America/Chicago,Stroke,d2c4a455-0ed4-4543-878a-440de91c4a20,Full,"[{'TournamentID': 516, 'RoundID': 19611, 'Number': 1, 'Day': '2022-11-10T00:00:00'}, {'TournamentID': 516, 'RoundID': 19612, 'Number': 2, 'Day': '2022-11-11T00:00:00'}, {'TournamentID': 516, 'RoundID': 19613, 'Number': 3, 'Day': '2022-11-12T00:00:00'}, {'TournamentID': 516, 'RoundID': 19614, 'Number': 4, 'Day': '2022-11-13T00:00:00'}]"
517,World Wide Technology Championship at Mayakoba,2022-11-03T00:00:00,2022-11-06T00:00:00,True,False,El Camaleón Golf Course at Mayakoba,"Riviera Maya, Mex",71.0,7034.0,8200000.0,2022-11-03T07:55:00,False,True,Riviera Maya,,,MEX,America/Cancun,Stroke,bfed5fed-40d9-4d0c-a6be-a689ba25a7ec,Full,"[{'TournamentID': 517, 'RoundID': 19607, 'Number': 1, 'Day': '2022-11-03T00:00:00'}, {'TournamentID': 517, 'RoundID': 19608, 'Number': 2, 'Day': '2022-11-04T00:00:00'}, {'TournamentID': 517, 'RoundID': 19609, 'Number': 3, 'Day': '2022-11-05T00:00:00'}, {'TournamentID': 517, 'RoundID': 19610, 'Number': 4, 'Day': '2022-11-06T00:00:00'}]"
518,Butterfield Bermuda Championship,2022-10-27T00:00:00,2022-10-30T00:00:00,True,False,Port Royal Golf Course,"Southampton, Ber",71.0,6828.0,6500000.0,2022-10-27T06:35:00,False,True,Southampton,,,BER,Atlantic/Bermuda,Stroke,97c8e78f-d903-4fea-ac5e-7513e91faf37,Full,"[{'TournamentID': 518, 'RoundID': 19603, 'Number': 1, 'Day': '2022-10-27T00:00:00'}, {'TournamentID': 518, 'RoundID': 19604, 'Number': 2, 'Day': '2022-10-28T00:00:00'}, {'TournamentID': 518, 'RoundID': 19605, 'Number': 3, 'Day': '2022-10-29T00:00:00'}, {'TournamentID': 518, 'RoundID': 19606, 'Number': 4, 'Day': '2022-10-30T00:00:00'}]"
520,THE CJ CUP in South Carolina,2022-10-20T00:00:00,2022-10-23T00:00:00,True,False,Congaree Golf Club,"Ridgeland, SC",71.0,7655.0,10500000.0,2022-10-20T08:15:00,False,True,Ridgeland,SC,,USA,America/New York,Stroke,8252afda-4f4b-4eca-a6f9-d91bc233dd39,Full,"[{'TournamentID': 520, 'RoundID': 19945, 'Number': 1, 'Day': '2022-10-20T00:00:00'}, {'TournamentID': 520, 'RoundID': 19946, 'Number': 2, 'Day': '2022-10-21T00:00:00'}, {'TournamentID': 520, 'RoundID': 19947, 'Number': 3, 'Day': '2022-10-22T00:00:00'}, {'TournamentID': 520, 'RoundID': 19948, 'Number': 4, 'Day': '2022-10-23T00:00:00'}]"
519,ZOZO CHAMPIONSHIP,2022-10-13T00:00:00,2022-10-16T00:00:00,True,False,Accordia Golf Narashino Country Club,"Chiba, Jpn",70.0,7079.0,11000000.0,2022-10-12T19:50:00,False,True,Chiba,,,JPN,Asia/Tokyo,Stroke,3a247fb8-ba65-4c23-915f-f442c36d65fd,Full,"[{'TournamentID': 519, 'RoundID': 19941, 'Number': 1, 'Day': '2022-10-13T00:00:00'}, {'TournamentID': 519, 'RoundID': 19942, 'Number': 2, 'Day': '2022-10-14T00:00:00'}, {'TournamentID': 519, 'RoundID': 19943, 'Number': 3, 'Day': '2022-10-15T00:00:00'}, {'TournamentID': 519, 'RoundID': 20576, 'Number': 4, 'Day': '2022-10-16T00:00:00'}]"
521,Shriners Children's Open,2022-10-06T00:00:00,2022-10-09T00:00:00,True,False,TPC Summerlin,"Las Vegas, NV",71.0,7255.0,8000000.0,2022-10-06T09:40:00,False,True,Las Vegas,NV,,USA,America/Los Angeles,Stroke,930073f3-a6ca-4501-97ee-54140730dba0,Full,"[{'TournamentID': 521, 'RoundID': 19599, 'Number': 1, 'Day': '2022-10-06T00:00:00'}, {'TournamentID': 521, 'RoundID': 19600, 'Number': 2, 'Day': '2022-10-07T00:00:00'}, {'TournamentID': 521, 'RoundID': 19601, 'Number': 3, 'Day': '2022-10-08T00:00:00'}, {'TournamentID': 521, 'RoundID': 19602, 'Number': 4, 'Day': '2022-10-09T00:00:00'}]"
522,Sanderson Farms Championship,2022-09-29T00:00:00,2022-10-02T00:00:00,True,False,The Country Club of Jackson,"Jackson, MS",72.0,7461.0,7900000.0,2022-09-29T08:00:00,False,True,Jackson,MS,,USA,America/Chicago,Stroke,80f07484-b938-4054-bb8f-1dee801f371d,Full,"[{'TournamentID': 522, 'RoundID': 19595, 'Number': 1, 'Day': '2022-09-29T00:00:00'}, {'TournamentID': 522, 'RoundID': 19596, 'Number': 2, 'Day': '2022-09-30T00:00:00'}, {'TournamentID': 522, 'RoundID': 19597, 'Number': 3, 'Day': '2022-10-01T00:00:00'}, {'TournamentID': 522, 'RoundID': 19598, 'Number': 4, 'Day': '2022-10-02T00:00:00'}]"
513,Presidents Cup,2022-09-22T00:00:00,2022-09-25T00:00:00,False,False,Quail Hollow Club,"Charlotte, NC",71.0,7521.0,,,False,False,Charlotte,NC,,USA,America/New York,TeamMatch,,Limited,"[{'TournamentID': 513, 'RoundID': 19590, 'Number': 1, 'Day': '2022-09-22T00:00:00'}, {'TournamentID': 513, 'RoundID': 19591, 'Number': 2, 'Day': '2022-09-23T00:00:00'}, {'TournamentID': 513, 'RoundID': 19592, 'Number': 3, 'Day': '2022-09-24T00:00:00'}, {'TournamentID': 513, 'RoundID': 19593, 'Number': 4, 'Day': '2022-09-25T00:00:00'}]"
523,Fortinet Championship,2022-09-15T00:00:00,2022-09-18T00:00:00,True,False,Silverado Resort and Spa (North Course),"Napa, CA",72.0,7123.0,8000000.0,2022-09-15T10:00:00,False,True,Napa,CA,,USA,America/Los Angeles,Stroke,40ef66e7-2c3e-4102-9132-2c6d828acdb6,Full,"[{'TournamentID': 523, 'RoundID': 19586, 'Number': 1, 'Day': '2022-09-15T00:00:00'}, {'TournamentID': 523, 'RoundID': 19587, 'Number': 2, 'Day': '2022-09-16T00:00:00'}, {'TournamentID': 523, 'RoundID': 19588, 'Number': 3, 'Day': '2022-09-17T00:00:00'}, {'TournamentID': 523, 'RoundID': 19589, 'Number': 4, 'Day': '2022-09-18T00:00:00'}]"
509,TOUR Championship,2022-08-25T00:00:00,2022-08-28T00:00:00,True,False,East Lake Golf Club,"Atlanta, GA",70.0,7346.0,75000000.0,2022-08-25T11:45:00,False,True,Atlanta,GA,,USA,America/New York,Stroke,62338479-12c5-4ef4-a473-6fea873f3e66,Full,"[{'TournamentID': 509, 'RoundID': 15873, 'Number': 1, 'Day': '2022-08-25T00:00:00'}, {'TournamentID': 509, 'RoundID': 15874, 'Number': 2, 'Day': '2022-08-26T00:00:00'}, {'TournamentID': 509, 'RoundID': 15875, 'Number': 3, 'Day': '2022-08-27T00:00:00'}, {'TournamentID': 509, 'RoundID': 15876, 'Number': 4, 'Day': '2022-08-28T00:00:00'}]"
508,BMW Championship,2022-08-18T00:00:00,2022-08-21T00:00:00,True,False,Wilmington Country Club,"Wilmington, DE",71.0,7534.0,15000000.0,2022-08-18T09:10:00,False,True,Wilmington,DE,,USA,America/New York,Stroke,f9859515-af30-41cd-9ffe-465d1446d6e0,Full,"[{'TournamentID': 508, 'RoundID': 15869, 'Number': 1, 'Day': '2022-08-18T00:00:00'}, {'TournamentID': 508, 'RoundID': 15870, 'Number': 2, 'Day': '2022-08-19T00:00:00'}, {'TournamentID': 508, 'RoundID': 15871, 'Number': 3, 'Day': '2022-08-20T00:00:00'}, {'TournamentID': 508, 'RoundID': 15872, 'Number': 4, 'Day': '2022-08-21T00:00:00'}]"
507,FedEx St. Jude Championship,2022-08-11T00:00:00,2022-08-14T00:00:00,True,False,TPC Southwind,"Memphis, TN",70.0,7243.0,15000000.0,2022-08-11T08:15:00,False,True,Memphis,TN,,USA,America/Chicago,Stroke,c0abe5ac-732a-4e5d-9f93-14dac6203e23,Full,"[{'TournamentID': 507, 'RoundID': 15865, 'Number': 1, 'Day': '2022-08-11T00:00:00'}, {'TournamentID': 507, 'RoundID': 15866, 'Number': 2, 'Day': '2022-08-12T00:00:00'}, {'TournamentID': 507, 'RoundID': 15867, 'Number': 3, 'Day': '2022-08-13T00:00:00'}, {'TournamentID': 507, 'RoundID': 15868, 'Number': 4, 'Day': '2022-08-14T00:00:00'}]"
506,Wyndham Championship,2022-08-04T00:00:00,2022-08-07T00:00:00,True,False,Sedgefield Country Club,"Greensboro, NC",70.0,7131.0,7300000.0,2022-08-04T06:50:00,False,True,Greensboro,NC,,USA,America/New York,Stroke,0d986e18-cc3d-4391-a37c-903e9097129f,Full,"[{'TournamentID': 506, 'RoundID': 15861, 'Number': 1, 'Day': '2022-08-04T00:00:00'}, {'TournamentID': 506, 'RoundID': 15862, 'Number': 2, 'Day': '2022-08-05T00:00:00'}, {'TournamentID': 506, 'RoundID': 15863, 'Number': 3, 'Day': '2022-08-06T00:00:00'}, {'TournamentID': 506, 'RoundID': 15864, 'Number': 4, 'Day': '2022-08-07T00:00:00'}]"
505,Rocket Mortgage Classic,2022-07-28T00:00:00,2022-07-31T00:00:00,True,False,Detroit Golf Club,"Detroit, MI",72.0,7370.0,8400000.0,2022-07-28T06:45:00,False,True,Detroit,MI,,USA,America/New York,Stroke,6f5e0381-f670-4c59-b4d5-3e6d4764d865,Full,"[{'TournamentID': 505, 'RoundID': 15857, 'Number': 1, 'Day': '2022-07-28T00:00:00'}, {'TournamentID': 505, 'RoundID': 15858, 'Number': 2, 'Day': '2022-07-29T00:00:00'}, {'TournamentID': 505, 'RoundID': 15859, 'Number': 3, 'Day': '2022-07-30T00:00:00'}, {'TournamentID': 505, 'RoundID': 15860, 'Number': 4, 'Day': '2022-07-31T00:00:00'}]"
504,3M Open,2022-07-21T00:00:00,2022-07-24T00:00:00,True,False,TPC Twin Cities,"Blaine, MN",71.0,7431.0,7500000.0,2022-07-21T07:50:00,False,True,Blaine,MN,,USA,America/Chicago,Stroke,63f720b6-845d-4f02-ad99-8688d20cbf1e,Full,"[{'TournamentID': 504, 'RoundID': 15853, 'Number': 1, 'Day': '2022-07-21T00:00:00'}, {'TournamentID': 504, 'RoundID': 15854, 'Number': 2, 'Day': '2022-07-22T00:00:00'}, {'TournamentID': 504, 'RoundID': 15855, 'Number': 3, 'Day': '2022-07-23T00:00:00'}, {'TournamentID': 504, 'RoundID': 15856, 'Number': 4, 'Day': '2022-07-24T00:00:00'}]"
