id,name,event_type,purse,winning_share,currency,points,start_date,end_date,course_timezone,status,seasons,coverage,venue,rounds,field
,,,,,,,,,,,,,,,"{'id': '45a571da-a1e4-4d48-9f88-47bb5185f0d0', 'first_name': 'Martin', 'last_name': 'Laird', 'country': 'SCOTLAND', 'abbr_name': 'M.Laird'}"
,,,,,,,,,,,,,,,"{'id': 'ad2405f8-2e7c-4c32-abfc-ad0a7e703244', 'first_name': 'Kyoung-Hoon', 'last_name': 'Lee', 'country': 'SOUTH KOREA', 'abbr_name': 'K.Lee'}"
,,,,,,,,,,,,,,,"{'id': 'a4978416-8ed7-4884-ac5f-2bc941b0801d', 'first_name': 'Danny', 'last_name': 'Lee', 'country': 'NEW ZEALAND', 'abbr_name': 'D.Lee'}"
,,,,,,,,,,,,,,,"{'id': '74dc07d3-784c-4e1c-95ad-d3a22d58f9d9', 'first_name': 'David', 'last_name': 'Lipsky', 'country': 'UNITED STATES', 'abbr_name': 'D.Lipsky'}"
,,,,,,,,,,,,,,,"{'id': '59e38135-5887-43e5-b6ab-25cbfedcd6e5', 'first_name': 'Luke', 'last_name': 'List', 'country': 'UNITED STATES', 'abbr_name': 'L.List'}"
,,,,,,,,,,,,,,,"{'id': '352c0895-df8e-4b76-9294-4079a2d08078', 'first_name': 'Adam', 'last_name': 'Long', 'country': 'UNITED STATES', 'abbr_name': 'A.Long'}"
,,,,,,,,,,,,,,,"{'id': '5ccb172d-5bbd-4302-a0ad-43ad9ffff64b', 'first_name': 'Peter', 'last_name': 'Malnati', 'country': 'UNITED STATES', 'abbr_name': 'P.Malnati'}"
,,,,,,,,,,,,,,,"{'id': 'd45bcf4a-5803-4b0b-ab6c-6427a76cecf7', 'first_name': 'Hideki', 'last_name': 'Matsuyama', 'country': 'JAPAN', 'abbr_name': 'H.Matsuyama'}"
,,,,,,,,,,,,,,,"{'id': '37221a6c-c8c4-4eaa-beba-715f6e781962', 'first_name': 'Maverick', 'last_name': 'McNealy', 'country': 'UNITED STATES', 'abbr_name': 'M.McNealy'}"
,,,,,,,,,,,,,,,"{'id': '5b5a340c-7b78-4a03-a12c-8f61a0978019', 'first_name': 'Troy', 'last_name': 'Merritt', 'country': 'UNITED STATES', 'abbr_name': 'T.Merritt'}"
,,,,,,,,,,,,,,,"{'id': '4e93ec3d-3ca8-4755-a874-4d1e5c18ccbf', 'first_name': 'Taylor', 'last_name': 'Moore', 'country': 'UNITED STATES', 'abbr_name': 'T.Moore'}"
,,,,,,,,,,,,,,,"{'id': 'f0ff1391-fc29-41bf-b46a-cd5ef9f63ad9', 'first_name': 'Collin', 'last_name': 'Morikawa', 'country': 'UNITED STATES', 'abbr_name': 'C.Morikawa'}"
,,,,,,,,,,,,,,,"{'id': '47fb8832-bf6c-4c00-a944-160b6f42fae6', 'first_name': 'Sebastian', 'last_name': 'Munoz', 'country': 'COLOMBIA', 'abbr_name': 'S.Munoz'}"
,,,,,,,,,,,,,,,"{'id': 'd76795dc-6280-41d9-9345-7ec0b96453fc', 'first_name': 'Keita', 'last_name': 'Nakajima', 'country': 'JAPAN', 'abbr_name': 'K.Nakajima'}"
,,,,,,,,,,,,,,,"{'id': '495479d6-cc8c-4a33-bce1-19d76de4448b', 'first_name': 'Matthew', 'last_name': 'NeSmith', 'country': 'UNITED STATES', 'abbr_name': 'M.NeSmith'}"
,,,,,,,,,,,,,,,"{'id': '9ba527b3-3690-439a-a656-36d2491d99a1', 'first_name': 'Kaito', 'last_name': 'Onishi', 'country': 'JAPAN', 'abbr_name': 'K.Onishi'}"
,,,,,,,,,,,,,,,"{'id': 'f3882acf-78ac-4441-aff8-9dbb148fcf12', 'first_name': 'Tomoharu', 'last_name': 'Otsuki', 'country': 'JAPAN', 'abbr_name': 'T.Otsuki'}"
,,,,,,,,,,,,,,,"{'id': '49fb93d3-5dbe-448f-a0cb-d851087f2019', 'first_name': 'C.T.', 'last_name': 'Pan', 'country': 'CHINESE TAIPEI', 'abbr_name': 'C.Pan'}"
,,,,,,,,,,,,,,,"{'id': '6085737f-7886-4f0f-8c4b-72c9c00664bc', 'first_name': 'Mito', 'last_name': 'Pereira', 'country': 'CHILE', 'abbr_name': 'M.Pereira'}"
,,,,,,,,,,,,,,,"{'id': 'bf8aa94c-d1a9-4de4-a05f-322092033fb0', 'first_name': 'Andrew', 'last_name': 'Putnam', 'country': 'UNITED STATES', 'abbr_name': 'A.Putnam'}"
,,,,,,,,,,,,,,,"{'id': '31f03fb8-f92c-4853-8805-c668430cecc2', 'first_name': 'Aaron', 'last_name': 'Rai', 'country': 'ENGLAND', 'abbr_name': 'A.Rai'}"
,,,,,,,,,,,,,,,"{'id': '43b877f1-e7e4-4218-b1a4-46c9f152b920', 'first_name': 'Chad', 'last_name': 'Ramey', 'country': 'UNITED STATES', 'abbr_name': 'C.Ramey'}"
,,,,,,,,,,,,,,,"{'id': 'a76f47fb-8523-457b-8b16-2c88d8e5c892', 'first_name': 'Chez', 'last_name': 'Reavie', 'country': 'UNITED STATES', 'abbr_name': 'C.Reavie'}"
,,,,,,,,,,,,,,,"{'id': 'f8a4cccc-bf81-4863-99a5-60b13d911184', 'first_name': 'Davis', 'last_name': 'Riley', 'country': 'UNITED STATES', 'abbr_name': 'D.Riley'}"
,,,,,,,,,,,,,,,"{'id': '3888a78e-b24a-4005-8915-2f03fccf3107', 'first_name': 'Patrick', 'last_name': 'Rodgers', 'country': 'UNITED STATES', 'abbr_name': 'P.Rodgers'}"
,,,,,,,,,,,,,,,"{'id': '229faa9c-fc01-46bb-a8cb-f6b0310a8cef', 'first_name': 'Sam', 'last_name': 'Ryder', 'country': 'UNITED STATES', 'abbr_name': 'S.Ryder'}"
,,,,,,,,,,,,,,,"{'id': '26dc0bda-b9a8-4303-9c1c-ddecda3817d2', 'first_name': 'Xander', 'last_name': 'Schauffele', 'country': 'UNITED STATES', 'abbr_name': 'X.Schauffele'}"
