id,name,event_type,currency,course_timezone,coverage,status,scoring_system,seasons,leaderboard,start_date,end_date,purse,cutline,cut_round,projected_cutline,points,network,winning_share
2859b1be-4db0-4054-8a88-a5e2656bd140,The Bahamas Great Exuma Classic,stroke,USD,America/Nassau,full,closed,stroke,"[{'id': '1a559ec3-8bfb-4170-a893-c1b43565151c', 'year': 2022, 'tour': {'id': '6ccf9f48-82ca-41d7-a649-99393a2aa0b1', 'alias': 'PGAD', 'name': 'Korn Ferry Tour'}}]","{'position': 94, 'tied': True, 'score': 6, 'strokes': 150, 'status': 'CUT', 'rounds': [{'score': 2, 'strokes': 74, 'thru': 18, 'eagles': 0, 'birdies': 3, 'pars': 12, 'bogeys': 2, 'double_bogeys': 0, 'other_scores': 1, 'holes_in_one': 0, 'sequence': 1}, {'score': 4, 'strokes': 76, 'thru': 18, 'eagles': 0, 'birdies': 1, 'pars': 12, 'bogeys': 5, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 2}]}",2022-01-16,2022-01-19,750000.0,2.0,2.0,,,,
20fc64de-d06b-4fd9-9623-84ffe6224678,The Bahamas Great Abaco Classic,stroke,USD,America/Nassau,full,closed,stroke,"[{'id': '1a559ec3-8bfb-4170-a893-c1b43565151c', 'year': 2022, 'tour': {'id': '6ccf9f48-82ca-41d7-a649-99393a2aa0b1', 'alias': 'PGAD', 'name': 'Korn Ferry Tour'}}]","{'position': 16, 'tied': True, 'money': 14063.0, 'points': 0.0, 'score': -10, 'strokes': 278, 'rounds': [{'score': -5, 'strokes': 67, 'thru': 18, 'eagles': 1, 'birdies': 5, 'pars': 10, 'bogeys': 2, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 1}, {'score': -3, 'strokes': 69, 'thru': 18, 'eagles': 0, 'birdies': 5, 'pars': 11, 'bogeys': 2, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 2}, {'score': -1, 'strokes': 71, 'thru': 18, 'eagles': 0, 'birdies': 4, 'pars': 11, 'bogeys': 3, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 3}, {'score': -1, 'strokes': 71, 'thru': 18, 'eagles': 0, 'birdies': 4, 'pars': 11, 'bogeys': 3, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 4}]}",2022-01-23,2022-01-26,750000.0,-1.0,2.0,,,,
04544d06-8375-4e58-8d9f-60866b43be7c,Panama Championship,stroke,USD,America/Panama,full,closed,stroke,"[{'id': '1a559ec3-8bfb-4170-a893-c1b43565151c', 'year': 2022, 'tour': {'id': '6ccf9f48-82ca-41d7-a649-99393a2aa0b1', 'alias': 'PGAD', 'name': 'Korn Ferry Tour'}}]","{'position': 23, 'tied': True, 'money': 7613.0, 'points': 0.0, 'score': -1, 'strokes': 279, 'rounds': [{'score': 0, 'strokes': 70, 'thru': 18, 'eagles': 0, 'birdies': 1, 'pars': 16, 'bogeys': 1, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 1}, {'score': 0, 'strokes': 70, 'thru': 18, 'eagles': 0, 'birdies': 2, 'pars': 14, 'bogeys': 2, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 2}, {'score': -1, 'strokes': 69, 'thru': 18, 'eagles': 0, 'birdies': 4, 'pars': 11, 'bogeys': 3, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 3}, {'score': 0, 'strokes': 70, 'thru': 18, 'eagles': 0, 'birdies': 3, 'pars': 12, 'bogeys': 3, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 4}]}",2022-02-03,2022-02-06,750000.0,0.0,2.0,,,,
19128557-9424-4a0a-b836-6b4e84479ac1,Country Club de Bogota Championship,stroke,USD,America/Bogota,full,closed,stroke,"[{'id': '1a559ec3-8bfb-4170-a893-c1b43565151c', 'year': 2022, 'tour': {'id': '6ccf9f48-82ca-41d7-a649-99393a2aa0b1', 'alias': 'PGAD', 'name': 'Korn Ferry Tour'}}]","{'position': 30, 'tied': True, 'money': 4995.0, 'points': 0.0, 'score': -9, 'strokes': 274, 'rounds': [{'score': -4, 'strokes': 66, 'thru': 18, 'eagles': 1, 'birdies': 4, 'pars': 11, 'bogeys': 2, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 1}, {'score': -6, 'strokes': 65, 'thru': 18, 'eagles': 1, 'birdies': 5, 'pars': 11, 'bogeys': 1, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 2}, {'score': 2, 'strokes': 73, 'thru': 18, 'eagles': 0, 'birdies': 3, 'pars': 11, 'bogeys': 3, 'double_bogeys': 1, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 3}, {'score': -1, 'strokes': 70, 'thru': 18, 'eagles': 0, 'birdies': 6, 'pars': 7, 'bogeys': 5, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 4}]}",2022-02-10,2022-02-13,750000.0,-4.0,2.0,,,,
76d0a9ee-d69d-46a4-bb13-d23ea171ec87,LECOM Suncoast Classic,stroke,USD,America/New_York,full,closed,stroke,"[{'id': '1a559ec3-8bfb-4170-a893-c1b43565151c', 'year': 2022, 'tour': {'id': '6ccf9f48-82ca-41d7-a649-99393a2aa0b1', 'alias': 'PGAD', 'name': 'Korn Ferry Tour'}}]","{'position': 123, 'tied': True, 'score': 1, 'strokes': 143, 'status': 'CUT', 'rounds': [{'score': 4, 'strokes': 75, 'thru': 18, 'eagles': 0, 'birdies': 1, 'pars': 13, 'bogeys': 3, 'double_bogeys': 1, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 1}, {'score': -3, 'strokes': 68, 'thru': 18, 'eagles': 1, 'birdies': 5, 'pars': 9, 'bogeys': 2, 'double_bogeys': 1, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 2}]}",2022-02-17,2022-02-20,750000.0,-6.0,2.0,,,,
3d8eb194-39ee-4f02-bb05-7668b5df411a,Chitimacha Louisiana Open,stroke,USD,America/Chicago,full,closed,stroke,"[{'id': '1a559ec3-8bfb-4170-a893-c1b43565151c', 'year': 2022, 'tour': {'id': '6ccf9f48-82ca-41d7-a649-99393a2aa0b1', 'alias': 'PGAD', 'name': 'Korn Ferry Tour'}}]","{'position': 28, 'tied': True, 'money': 5355.0, 'points': 0.0, 'score': -8, 'strokes': 276, 'rounds': [{'score': -4, 'strokes': 67, 'thru': 18, 'eagles': 0, 'birdies': 5, 'pars': 12, 'bogeys': 1, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 1}, {'score': -1, 'strokes': 70, 'thru': 18, 'eagles': 0, 'birdies': 3, 'pars': 13, 'bogeys': 2, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 2}, {'score': -1, 'strokes': 70, 'thru': 18, 'eagles': 1, 'birdies': 5, 'pars': 6, 'bogeys': 6, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 3}, {'score': -2, 'strokes': 69, 'thru': 18, 'eagles': 0, 'birdies': 4, 'pars': 12, 'bogeys': 2, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 4}]}",2022-03-17,2022-03-20,750000.0,-2.0,2.0,,,,
e53e678b-8264-458f-92ea-5f2b47fc07d3,Lake Charles Championship,stroke,USD,America/Chicago,full,closed,stroke,"[{'id': '1a559ec3-8bfb-4170-a893-c1b43565151c', 'year': 2022, 'tour': {'id': '6ccf9f48-82ca-41d7-a649-99393a2aa0b1', 'alias': 'PGAD', 'name': 'Korn Ferry Tour'}}]","{'position': 102, 'tied': True, 'score': 1, 'strokes': 143, 'status': 'CUT', 'rounds': [{'score': 4, 'strokes': 75, 'thru': 18, 'eagles': 0, 'birdies': 1, 'pars': 12, 'bogeys': 5, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 1}, {'score': -3, 'strokes': 68, 'thru': 18, 'eagles': 0, 'birdies': 4, 'pars': 13, 'bogeys': 1, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 2}]}",2022-03-24,2022-03-27,750000.0,-2.0,2.0,,,,
89feb37a-6c7e-4c7d-aeb5-e33135005117,Club Car Championship at The Landings Club,stroke,USD,America/New_York,full,closed,stroke,"[{'id': '1a559ec3-8bfb-4170-a893-c1b43565151c', 'year': 2022, 'tour': {'id': '6ccf9f48-82ca-41d7-a649-99393a2aa0b1', 'alias': 'PGAD', 'name': 'Korn Ferry Tour'}}]","{'position': 94, 'tied': True, 'score': 1, 'strokes': 145, 'status': 'CUT', 'rounds': [{'score': 2, 'strokes': 74, 'thru': 18, 'eagles': 0, 'birdies': 1, 'pars': 14, 'bogeys': 3, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 1}, {'score': -1, 'strokes': 71, 'thru': 18, 'eagles': 1, 'birdies': 2, 'pars': 12, 'bogeys': 3, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 2}]}",2022-03-31,2022-04-03,750000.0,-2.0,2.0,,,,
952a38d6-5fbf-491e-8395-5259a1b1d57a,Veritex Bank Championship,stroke,USD,America/Chicago,full,closed,stroke,"[{'id': '1a559ec3-8bfb-4170-a893-c1b43565151c', 'year': 2022, 'tour': {'id': '6ccf9f48-82ca-41d7-a649-99393a2aa0b1', 'alias': 'PGAD', 'name': 'Korn Ferry Tour'}}]","{'position': 86, 'tied': True, 'score': -3, 'strokes': 139, 'status': 'CUT', 'rounds': [{'score': -4, 'strokes': 67, 'thru': 18, 'eagles': 0, 'birdies': 5, 'pars': 12, 'bogeys': 1, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 1}, {'score': 1, 'strokes': 72, 'thru': 18, 'eagles': 0, 'birdies': 4, 'pars': 9, 'bogeys': 5, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 2}]}",2022-04-13,2022-04-16,750000.0,-5.0,2.0,-5.0,,,
64bb1d20-ad74-4ee5-aae7-40b06c3734e9,Huntsville Championship,stroke,USD,America/Chicago,full,closed,stroke,"[{'id': '1a559ec3-8bfb-4170-a893-c1b43565151c', 'year': 2022, 'tour': {'id': '6ccf9f48-82ca-41d7-a649-99393a2aa0b1', 'alias': 'PGAD', 'name': 'Korn Ferry Tour'}}]","{'position': 92, 'tied': True, 'score': 3, 'strokes': 143, 'status': 'CUT', 'rounds': [{'score': 1, 'strokes': 71, 'thru': 18, 'eagles': 0, 'birdies': 4, 'pars': 10, 'bogeys': 3, 'double_bogeys': 1, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 1}, {'score': 2, 'strokes': 72, 'thru': 18, 'eagles': 0, 'birdies': 1, 'pars': 14, 'bogeys': 3, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 2}]}",2022-04-28,2022-05-01,750000.0,0.0,2.0,,,,
971e060e-ffb0-44b0-90ed-0b99d966002a,Simmons Bank Open for the Snedeker Foundation,stroke,USD,America/Chicago,full,closed,stroke,"[{'id': '1a559ec3-8bfb-4170-a893-c1b43565151c', 'year': 2022, 'tour': {'id': '6ccf9f48-82ca-41d7-a649-99393a2aa0b1', 'alias': 'PGAD', 'name': 'Korn Ferry Tour'}}]","{'position': 3, 'tied': True, 'money': 39375.0, 'points': 0.0, 'score': -14, 'strokes': 274, 'rounds': [{'score': -4, 'strokes': 68, 'thru': 18, 'eagles': 0, 'birdies': 5, 'pars': 12, 'bogeys': 1, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 1}, {'score': -2, 'strokes': 70, 'thru': 18, 'eagles': 0, 'birdies': 5, 'pars': 11, 'bogeys': 1, 'double_bogeys': 1, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 2}, {'score': -3, 'strokes': 69, 'thru': 18, 'eagles': 0, 'birdies': 4, 'pars': 13, 'bogeys': 1, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 3}, {'score': -5, 'strokes': 67, 'thru': 18, 'eagles': 0, 'birdies': 7, 'pars': 10, 'bogeys': 0, 'double_bogeys': 1, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 4}]}",2022-05-05,2022-05-08,750000.0,-3.0,2.0,-3.0,,,
757659c1-1c23-4022-a69e-8d934d2022d2,Visit Knoxville Open,stroke,USD,America/New_York,full,closed,stroke,"[{'id': '1a559ec3-8bfb-4170-a893-c1b43565151c', 'year': 2022, 'tour': {'id': '6ccf9f48-82ca-41d7-a649-99393a2aa0b1', 'alias': 'PGAD', 'name': 'Korn Ferry Tour'}}]","{'position': 67, 'tied': True, 'money': 2948.0, 'points': 0.0, 'score': -3, 'strokes': 277, 'rounds': [{'score': 1, 'strokes': 71, 'thru': 18, 'eagles': 0, 'birdies': 3, 'pars': 12, 'bogeys': 2, 'double_bogeys': 1, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 1}, {'score': -5, 'strokes': 65, 'thru': 18, 'eagles': 0, 'birdies': 6, 'pars': 11, 'bogeys': 1, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 2}, {'score': 1, 'strokes': 71, 'thru': 18, 'eagles': 0, 'birdies': 4, 'pars': 9, 'bogeys': 5, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 3}, {'score': 0, 'strokes': 70, 'thru': 18, 'eagles': 0, 'birdies': 3, 'pars': 12, 'bogeys': 3, 'double_bogeys': 0, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 4}]}",2022-05-12,2022-05-15,750000.0,-2.0,2.0,,,,
f12b6c39-74d7-42ec-9d81-4a35273dcab7,NV5 Invitational presented by Old National Bank,stroke,USD,America/Chicago,full,closed,stroke,"[{'id': '1a559ec3-8bfb-4170-a893-c1b43565151c', 'year': 2022, 'tour': {'id': '6ccf9f48-82ca-41d7-a649-99393a2aa0b1', 'alias': 'PGAD', 'name': 'Korn Ferry Tour'}}]","{'position': 80, 'tied': True, 'score': -2, 'strokes': 140, 'status': 'CUT', 'rounds': [{'score': 2, 'strokes': 73, 'thru': 18, 'eagles': 0, 'birdies': 1, 'pars': 15, 'bogeys': 1, 'double_bogeys': 1, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 1}, {'score': -4, 'strokes': 67, 'thru': 18, 'eagles': 1, 'birdies': 5, 'pars': 10, 'bogeys': 1, 'double_bogeys': 1, 'other_scores': 0, 'holes_in_one': 0, 'sequence': 2}]}",2022-05-26,2022-05-29,750000.0,-4.0,2.0,,,,
